field_name,q1,q3,iqr,mild_low_threshold,mild_high_threshold,extreme_low_threshold,extreme_high_threshold,normal_count,missing_count,mild_low_count,mild_high_count,extreme_low_count,extreme_high_count,outlier_count,outlier_pct
billed_amount,11582.45,28398.065,16815.615,-13640.9725,53621.4875,-38864.395,78844.91,24627,0,0,369,0,4,373,1.49
payment_days,8.0,17.0,9.0,-5.5,30.5,-19.0,44.0,23701,790,0,490,0,19,509,2.04
length_of_stay_hours,9.96,27.3125,17.3525,-16.06875,53.34125,-42.0975,79.37,24744,0,0,256,0,0,256,1.02
